Branch,Customer type,Gender,Product line,Quantity,Total,Date,Rating
A,Member,Female,Health and beauty,7,548.9715,1/5/2019,9.1
C,Normal,Female,Electronic accessories,5,80.22,3/8/2019,9.6
A,Normal,Male,Home and lifestyle,7,340.5255,3/3/2019,7.4
A,Member,Male,Health and beauty,8,489.048,1/27/2019,8.4
A,Normal,Male,Sports and travel,7,634.3785,2/8/2019,5.3
C,Normal,Male,Electronic accessories,7,627.6165,3/25/2019,4.1
A,Member,Female,Electronic accessories,6,433.692,2/25/2019,5.8
C,Normal,Female,Home and lifestyle,10,772.38,2/24/2019,8
A,Member,Female,Health and beauty,2,76.146,1/10/2019,7.2
B,Member,Female,Food and beverages,3,172.746,2/20/2019,5.9
B,Member,Female,Fashion accessories,4,60.816,2/6/2019,4.5
B,Member,Male,Electronic accessories,4,107.142,3/9/2019,6.8
A,Normal,Female,Electronic accessories,5,246.4875,2/12/2019,7.1
A,Normal,Male,Food and beverages,10,453.495,2/7/2019,8.2
A,Normal,Female,Health and beauty,10,749.49,3/29/2019,5.7
B,Member,Female,Sports and travel,6,590.436,1/15/2019,4.5
A,Member,Female,Health and beauty,7,506.6355,3/11/2019,4.6
A,Normal,Male,Sports and travel,6,457.443,1/1/2019,6.9
A,Normal,Male,Food and beverages,3,172.2105,1/21/2019,8.6
B,Normal,Female,Home and lifestyle,2,84.63,3/11/2019,4.4
C,Member,Male,Electronic accessories,5,451.71,2/25/2019,4.8
B,Normal,Male,Health and beauty,3,277.137,3/5/2019,5.1
B,Normal,Male,Home and lifestyle,2,69.72,3/15/2019,4.4
A,Normal,Male,Electronic accessories,5,181.44,2/17/2019,9.9
A,Member,Male,Sports and travel,3,279.1845,3/2/2019,6
A,Member,Female,Home and lifestyle,8,441.756,3/22/2019,8.5
B,Normal,Male,Fashion accessories,1,35.196,2/8/2019,6.7
A,Normal,Female,Fashion accessories,2,184.107,3/10/2019,7.7
B,Normal,Female,Food and beverages,5,463.89,1/25/2019,9.6
A,Normal,Male,Health and beauty,9,235.2105,3/15/2019,7.4
B,Normal,Male,Fashion accessories,5,494.1825,2/25/2019,4.8
B,Member,Male,Sports and travel,9,737.7615,1/28/2019,4.5
B,Normal,Male,Sports and travel,8,703.752,1/10/2019,5.1
A,Normal,Male,Health and beauty,2,202.818,3/15/2019,5.1
C,Member,Female,Food and beverages,4,417.564,2/6/2019,7.5
C,Member,Female,Sports and travel,1,71.526,1/7/2019,6.8
A,Member,Male,Sports and travel,5,328.755,3/10/2019,7
A,Normal,Female,Electronic accessories,9,575.316,1/15/2019,4.7
C,Normal,Female,Health and beauty,8,461.328,3/23/2019,7.6
B,Member,Male,Home and lifestyle,8,253.008,3/3/2019,7.7
B,Member,Female,Home and lifestyle,1,91.056,1/17/2019,7.9
C,Member,Male,Home and lifestyle,2,117.831,2/2/2019,6.3
B,Member,Female,Sports and travel,6,435.456,2/8/2019,5.6
C,Member,Female,Food and beverages,8,829.08,3/4/2019,7.6
C,Member,Male,Health and beauty,2,32.277,3/16/2019,7.2
B,Member,Female,Electronic accessories,4,394.632,3/9/2019,9.5
B,Member,Male,Health and beauty,9,535.7205,2/27/2019,8.4
B,Member,Female,Food and beverages,9,189.0945,2/6/2019,4.1
B,Member,Male,Electronic accessories,6,119.259,2/10/2019,8.1
C,Member,Female,Fashion accessories,10,867.615,3/19/2019,7.9
C,Member,Male,Food and beverages,7,671.79,2/3/2019,9.5
A,Member,Female,Food and beverages,5,234.0975,2/10/2019,8.5
B,Member,Female,Fashion accessories,4,75.054,3/22/2019,6.5
C,Member,Male,Fashion accessories,1,16.2015,1/25/2019,6.1
B,Normal,Male,Home and lifestyle,2,33.936,3/7/2019,6.5
C,Normal,Female,Electronic accessories,8,722.232,2/28/2019,8.2
A,Member,Male,Home and lifestyle,2,93.114,3/27/2019,5.8
A,Normal,Male,Health and beauty,8,752.64,2/7/2019,6.6
A,Member,Female,Home and lifestyle,10,759.675,1/20/2019,5.4
C,Normal,Male,Electronic accessories,6,192.843,3/12/2019,9.3
C,Member,Female,Sports and travel,3,77.931,2/15/2019,10
C,Normal,Male,Home and lifestyle,6,351.099,2/24/2019,7
B,Member,Female,Sports and travel,9,520.4115,2/3/2019,10
A,Member,Male,Sports and travel,10,166.005,3/6/2019,8.6
B,Member,Male,Health and beauty,4,318.108,2/14/2019,7.6
A,Member,Male,Health and beauty,10,166.635,3/13/2019,5.8
C,Normal,Female,Health and beauty,2,70.287,2/10/2019,6.7
B,Member,Female,Fashion accessories,6,614.943,1/7/2019,9.9
A,Normal,Male,Sports and travel,10,827.085,1/24/2019,6.4
A,Member,Female,Health and beauty,1,19.2465,2/2/2019,4.3
C,Normal,Male,Food and beverages,10,939.54,1/6/2019,9.6
C,Normal,Male,Fashion accessories,10,652.26,2/11/2019,5.9
B,Member,Female,Food and beverages,3,152.838,3/5/2019,4
C,Normal,Female,Electronic accessories,6,478.233,3/9/2019,8.7
A,Normal,Male,Home and lifestyle,9,705.6315,1/22/2019,9.4
C,Normal,Female,Electronic accessories,10,437.325,1/13/2019,5.4
C,Member,Male,Fashion accessories,9,463.428,1/9/2019,8.6
A,Member,Female,Fashion accessories,9,189.0945,1/12/2019,5.7
C,Member,Female,Food and beverages,10,822.255,3/5/2019,6.6
C,Normal,Female,Health and beauty,5,106.995,1/22/2019,6
C,Normal,Female,Health and beauty,6,624.897,1/21/2019,5.5
B,Normal,Female,Food and beverages,3,304.542,1/26/2019,6.4
C,Normal,Male,Food and beverages,8,161.7,1/23/2019,6.6
C,Member,Female,Food and beverages,4,337.512,2/23/2019,8.3
C,Member,Male,Sports and travel,5,256.7775,3/9/2019,6.6
C,Normal,Female,Sports and travel,7,610.491,3/5/2019,4
C,Normal,Male,Fashion accessories,5,401.73,3/25/2019,9.9
A,Member,Male,Food and beverages,7,362.943,3/27/2019,7.3
A,Normal,Male,Sports and travel,1,44.5935,1/2/2019,5.7
B,Normal,Female,Health and beauty,6,485.037,2/27/2019,6.1
C,Member,Female,Home and lifestyle,4,198.996,1/23/2019,7.1
C,Normal,Female,Sports and travel,10,471.03,1/26/2019,8.2
A,Member,Female,Sports and travel,7,161.553,1/10/2019,5.1
B,Member,Male,Health and beauty,9,608.202,3/12/2019,8.6
C,Normal,Male,Health and beauty,1,94.2375,2/6/2019,6.6
A,Normal,Male,Electronic accessories,1,102.018,3/8/2019,7.2
B,Normal,Male,Health and beauty,10,922.635,3/29/2019,5.1
C,Normal,Female,Electronic accessories,6,78.435,2/9/2019,4.1
A,Normal,Male,Food and beverages,3,166.1625,3/23/2019,9.3
B,Normal,Male,Home and lifestyle,6,521.01,3/5/2019,7.4
C,Member,Male,Fashion accessories,1,51.1455,3/26/2019,4.1
C,Normal,Male,Fashion accessories,9,742.2975,3/1/2019,7.2
C,Normal,Female,Electronic accessories,9,218.0115,2/1/2019,4.9
A,Normal,Male,Food and beverages,6,367.038,3/28/2019,9.9
B,Normal,Male,Health and beauty,7,223.0725,3/19/2019,8
A,Member,Male,Electronic accessories,10,931.035,1/12/2019,7.3
C,Normal,Male,Fashion accessories,6,172.494,1/5/2019,7.9
A,Normal,Male,Sports and travel,6,391.419,3/22/2019,7.4
C,Normal,Female,Food and beverages,9,321.111,3/24/2019,4.2
C,Member,Male,Electronic accessories,10,860.685,3/3/2019,9.2
B,Member,Female,Sports and travel,2,34.629,2/5/2019,4.6
C,Member,Female,Health and beauty,3,309.3615,2/5/2019,7.8
B,Normal,Female,Fashion accessories,7,535.374,2/15/2019,8.4
A,Member,Male,Home and lifestyle,9,548.7615,1/19/2019,4.3
C,Member,Female,Home and lifestyle,9,763.4655,2/1/2019,9.5
C,Normal,Female,Fashion accessories,3,85.113,3/2/2019,7.1
B,Member,Male,Fashion accessories,5,115.185,3/5/2019,5.3
B,Member,Male,Fashion accessories,1,53.928,1/16/2019,5.2
A,Normal,Female,Food and beverages,10,115.08,2/2/2019,6
B,Normal,Male,Home and lifestyle,2,112.224,1/20/2019,4.1
A,Normal,Female,Electronic accessories,8,836.304,2/14/2019,5.2
C,Member,Male,Sports and travel,7,419.832,1/12/2019,6.5
B,Member,Male,Sports and travel,9,944.622,3/9/2019,4.2
C,Member,Male,Home and lifestyle,8,536.844,3/13/2019,4.6
B,Member,Female,Fashion accessories,8,474.348,3/9/2019,7.3
A,Normal,Female,Home and lifestyle,7,688.6215,3/10/2019,4.5
A,Normal,Female,Sports and travel,5,169.3125,1/27/2019,9
C,Normal,Female,Fashion accessories,9,299.8485,1/8/2019,5.9
C,Member,Female,Food and beverages,8,575.736,1/8/2019,8.5
B,Normal,Female,Sports and travel,9,853.146,2/8/2019,7.2
B,Normal,Female,Fashion accessories,7,291.207,1/25/2019,7.5
A,Member,Female,Sports and travel,6,580.419,3/6/2019,8.3
B,Normal,Female,Sports and travel,4,146.328,2/10/2019,7.4
B,Member,Male,Electronic accessories,6,550.935,2/17/2019,8.8
C,Normal,Female,Health and beauty,6,512.19,3/8/2019,5.3
C,Normal,Male,Fashion accessories,3,284.193,2/18/2019,6.2
A,Normal,Female,Electronic accessories,5,138.1275,1/18/2019,8.8
A,Member,Female,Home and lifestyle,6,216.846,2/18/2019,9.8
B,Normal,Male,Sports and travel,10,545.055,2/16/2019,8.2
A,Normal,Male,Sports and travel,8,609,3/16/2019,9.2
C,Member,Female,Sports and travel,10,942.9,1/23/2019,5.4
C,Member,Male,Health and beauty,10,950.25,1/25/2019,8.1
C,Member,Female,Health and beauty,10,720.3,2/5/2019,9.1
C,Member,Female,Food and beverages,1,31.9305,2/22/2019,8.4
A,Normal,Female,Home and lifestyle,6,491.085,1/21/2019,8
C,Normal,Female,Health and beauty,6,291.438,3/8/2019,9.5
A,Member,Female,Fashion accessories,10,316.47,2/10/2019,9.2
C,Normal,Male,Health and beauty,4,277.788,3/19/2019,5.6
B,Member,Male,Home and lifestyle,8,603.624,3/6/2019,6.2
A,Normal,Male,Health and beauty,8,272.664,3/27/2019,4.9
B,Member,Female,Fashion accessories,4,384.468,3/23/2019,4.8
C,Member,Male,Sports and travel,7,254.016,3/11/2019,7.3
A,Normal,Male,Fashion accessories,9,786.618,1/29/2019,7.4
C,Normal,Female,Food and beverages,6,103.824,2/7/2019,9.9
C,Normal,Female,Sports and travel,8,680.148,1/28/2019,9.3
A,Member,Male,Food and beverages,5,484.5225,2/20/2019,9
B,Member,Male,Electronic accessories,1,75.7785,1/4/2019,6.1
B,Normal,Male,Home and lifestyle,5,263.97,3/7/2019,9.7
B,Member,Male,Health and beauty,9,918.729,3/30/2019,6
